epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1811,1.75597,3.55905,1.50796,0.52572,0.19403,0.32796,0.138,1.6373,3.76481,1.39367,0.000649573,0.000649573,0.000649573
2,33.138,1.8135,2.7569,1.49365,0.52207,0.3587,0.38891,0.16182,1.82986,3.49587,1.48384,0.00130321,0.00130321,0.00130321
3,46.246,1.79771,2.54813,1.51829,0.3633,0.38806,0.20287,0.079,2.00522,4.51626,1.83525,0.00194364,0.00194364,0.00194364
4,59.224,1.92297,2.48245,1.57171,0.15461,0.20896,0.09969,0.04186,2.04277,6.16014,1.76038,0.0019406,0.0019406,0.0019406
5,72.4407,1.88193,2.16469,1.53258,0.64657,0.62802,0.63461,0.30088,1.73872,2.32771,1.52312,0.0019208,0.0019208,0.0019208
6,85.7657,1.79957,2.00049,1.4901,0.65467,0.70742,0.63535,0.29562,1.70004,2.82885,1.50452,0.001901,0.001901,0.001901
7,98.9601,1.77791,1.89149,1.52119,0.6972,0.61864,0.65392,0.31255,1.74166,2.46805,1.57075,0.0018812,0.0018812,0.0018812
8,112.151,1.78613,1.85269,1.48398,0.76474,0.43672,0.46346,0.21185,1.98329,2.28018,1.82061,0.0018614,0.0018614,0.0018614
9,125.26,1.69777,1.7263,1.43145,0.73461,0.66108,0.67369,0.30331,1.77547,1.7136,1.52851,0.0018416,0.0018416,0.0018416
10,138.399,1.71698,1.68927,1.4484,0.70594,0.68085,0.70935,0.35486,1.67337,1.70612,1.44283,0.0018218,0.0018218,0.0018218
11,151.643,1.73986,1.67446,1.44315,0.68245,0.73781,0.6811,0.31327,1.69662,1.45738,1.43174,0.001802,0.001802,0.001802
12,165.049,1.73479,1.62125,1.45514,0.71214,0.76119,0.74922,0.34172,1.65371,1.40071,1.44995,0.0017822,0.0017822,0.0017822
13,178.149,1.65866,1.50084,1.43321,0.67075,0.68657,0.71381,0.36455,1.7513,1.49149,1.43612,0.0017624,0.0017624,0.0017624
14,191.36,1.68654,1.53225,1.4243,0.81438,0.71642,0.79977,0.42051,1.66006,1.19975,1.39986,0.0017426,0.0017426,0.0017426
15,204.182,1.67511,1.44729,1.42344,0.74032,0.64179,0.72248,0.35872,1.76742,1.30076,1.45477,0.0017228,0.0017228,0.0017228
16,216.717,1.60067,1.42196,1.37541,0.74959,0.80425,0.817,0.39533,1.59401,1.14682,1.35057,0.001703,0.001703,0.001703
17,229.356,1.626,1.44975,1.37169,0.79686,0.81968,0.83805,0.41723,1.64615,1.27626,1.39015,0.0016832,0.0016832,0.0016832
18,242.239,1.65663,1.42569,1.3965,0.74137,0.81294,0.78489,0.39305,1.72955,1.21641,1.43512,0.0016634,0.0016634,0.0016634
19,255.474,1.71221,1.47124,1.43641,0.80104,0.68657,0.77771,0.3889,1.64731,1.23926,1.39142,0.0016436,0.0016436,0.0016436
20,268.874,1.58806,1.39943,1.37601,0.8001,0.73134,0.80067,0.42075,1.63588,1.18076,1.3691,0.0016238,0.0016238,0.0016238
21,281.958,1.57497,1.30785,1.3268,0.74461,0.71642,0.80896,0.40515,1.60229,1.07012,1.3251,0.001604,0.001604,0.001604
22,295.271,1.6129,1.38853,1.37581,0.8054,0.80597,0.8454,0.42729,1.56646,1.10356,1.37362,0.0015842,0.0015842,0.0015842
23,308.559,1.52947,1.30353,1.33015,0.82703,0.83582,0.85321,0.43905,1.66157,1.0086,1.39576,0.0015644,0.0015644,0.0015644
24,321.778,1.5612,1.30676,1.35204,0.84607,0.62687,0.80316,0.43126,1.57345,1.23917,1.37377,0.0015446,0.0015446,0.0015446
25,335.328,1.52092,1.23185,1.31259,0.71875,0.80597,0.82363,0.45686,1.61116,1.09352,1.40365,0.0015248,0.0015248,0.0015248
26,348.942,1.50739,1.23701,1.30466,0.85157,0.74627,0.81025,0.41035,1.67004,1.23026,1.40771,0.001505,0.001505,0.001505
27,362.074,1.51451,1.2266,1.32378,0.82844,0.8209,0.84029,0.43612,1.57771,1.05554,1.40871,0.0014852,0.0014852,0.0014852
28,375.064,1.53275,1.26233,1.32879,0.86796,0.78494,0.82146,0.41046,1.63124,1.06125,1.41028,0.0014654,0.0014654,0.0014654
29,388.273,1.44734,1.19946,1.28602,0.83089,0.73134,0.8387,0.43009,1.63781,1.02994,1.37392,0.0014456,0.0014456,0.0014456
30,401.074,1.49044,1.16001,1.30642,0.78525,0.79104,0.81518,0.41751,1.70637,1.02034,1.42844,0.0014258,0.0014258,0.0014258
31,413.646,1.48708,1.19558,1.31472,0.83131,0.79104,0.83915,0.43921,1.61755,1.04703,1.39331,0.001406,0.001406,0.001406
32,426.337,1.45401,1.14539,1.29453,0.82259,0.79104,0.83977,0.43207,1.66789,1.02852,1.38306,0.0013862,0.0013862,0.0013862
33,439.098,1.47743,1.20227,1.28596,0.76379,0.76119,0.78451,0.41283,1.64358,1.09072,1.38109,0.0013664,0.0013664,0.0013664
34,451.968,1.49058,1.25225,1.2975,0.82788,0.78969,0.82071,0.42886,1.66538,1.00084,1.36427,0.0013466,0.0013466,0.0013466
35,465.159,1.41276,1.13863,1.26697,0.8062,0.77612,0.81337,0.38453,1.74529,1.07768,1.3917,0.0013268,0.0013268,0.0013268
36,478.432,1.46777,1.19069,1.30065,0.82574,0.73134,0.8043,0.42487,1.62484,1.13878,1.4469,0.001307,0.001307,0.001307
37,491.761,1.38148,1.09414,1.24031,0.86315,0.76119,0.82342,0.43639,1.67178,1.00481,1.39152,0.0012872,0.0012872,0.0012872
38,505.136,1.42038,1.08216,1.25355,0.82048,0.80597,0.80966,0.41244,1.75081,1.04781,1.45341,0.0012674,0.0012674,0.0012674
39,518.259,1.37744,1.06516,1.24067,0.87523,0.76119,0.8455,0.43209,1.66118,0.99967,1.41789,0.0012476,0.0012476,0.0012476
40,531.683,1.39004,1.09852,1.26519,0.88035,0.83582,0.8712,0.46806,1.59876,0.9617,1.37092,0.0012278,0.0012278,0.0012278
