epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1261,2.06393,3.17557,1.86537,0.00061,0.0597,0.0002,5e-05,nan,nan,nan,0.000649573,0.000649573,0.000649573
2,75.7763,2.21524,2.54568,2.01962,0,0,0,0,nan,nan,nan,0.00130321,0.00130321,0.00130321
3,107.152,2.33386,2.52357,2.17081,0,0,0,0,nan,nan,nan,0.00194364,0.00194364,0.00194364
4,138.524,2.26365,2.61396,2.07456,0.00715,0.01493,0.00068,0.0002,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,170.186,2.23578,2.43066,2.07373,0,0,0,0,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,201.566,2.15407,2.28423,1.96476,0.07928,0.02985,0.01298,0.00725,nan,nan,nan,0.001901,0.001901,0.001901
7,234.881,2.11865,2.40674,1.98647,0.26362,0.1194,0.10123,0.04931,nan,nan,nan,0.0018812,0.0018812,0.0018812
8,267.022,2.05912,2.26367,1.88112,0.63074,0.48446,0.55151,0.22862,1.99828,8.27927,2.09131,0.0018614,0.0018614,0.0018614
9,299.69,1.94656,2.11507,1.83436,0.24724,0.46269,0.21246,0.07343,2.13804,4.46521,2.07444,0.0018416,0.0018416,0.0018416
10,330.901,1.98191,2.10671,1.86423,0.52805,0.44776,0.44684,0.19033,1.80245,12.402,1.8308,0.0018218,0.0018218,0.0018218
11,361.988,1.99038,2.11521,1.82783,0.52936,0.56716,0.52996,0.25211,1.7886,2.16231,1.77119,0.001802,0.001802,0.001802
12,395.057,1.93839,2.02203,1.78871,0.71623,0.52239,0.60521,0.27652,1.80554,2.35461,1.70053,0.0017822,0.0017822,0.0017822
13,427.791,1.86867,1.88332,1.77128,0.52543,0.26866,0.32227,0.13683,2.49009,3.44088,2.63233,0.0017624,0.0017624,0.0017624
14,459.25,1.95165,1.89243,1.78197,0.64218,0.41791,0.50462,0.248,1.84643,3.19751,1.80153,0.0017426,0.0017426,0.0017426
15,490.675,1.92526,1.82518,1.78731,0.88621,0.50746,0.68577,0.32968,1.73268,2.00241,1.71667,0.0017228,0.0017228,0.0017228
16,523.079,1.81143,1.76337,1.74208,0.74933,0.53543,0.62845,0.28201,1.78362,1.80994,1.77836,0.001703,0.001703,0.001703
17,554.743,1.87922,1.81851,1.73109,0.68016,0.59701,0.67328,0.31588,1.75874,1.44235,1.72352,0.0016832,0.0016832,0.0016832
18,585.617,1.81122,1.78969,1.6872,0.76454,0.59701,0.71885,0.36107,1.71906,1.6368,1.65874,0.0016634,0.0016634,0.0016634
19,618.383,1.8253,1.80302,1.71091,0.75957,0.58209,0.69867,0.34399,1.7635,1.60148,1.7466,0.0016436,0.0016436,0.0016436
20,649.718,1.77276,1.71292,1.68196,0.78885,0.61338,0.73423,0.35747,1.77657,1.40476,1.68725,0.0016238,0.0016238,0.0016238
21,680.769,1.75566,1.62784,1.67606,0.70305,0.61194,0.6867,0.37904,1.56984,1.41325,1.61901,0.001604,0.001604,0.001604
22,713.109,1.76802,1.69826,1.67865,0.69497,0.68017,0.71997,0.37473,1.71117,1.34122,1.65984,0.0015842,0.0015842,0.0015842
23,743.98,1.68372,1.66174,1.63809,0.78905,0.61412,0.76491,0.3838,1.70485,1.2711,1.64464,0.0015644,0.0015644,0.0015644
24,776.082,1.75196,1.63252,1.6704,0.71051,0.69606,0.71783,0.37846,1.65469,1.42315,1.59292,0.0015446,0.0015446,0.0015446
25,807.435,1.6635,1.58959,1.60523,0.72471,0.64179,0.70668,0.38858,1.63069,1.56758,1.58721,0.0015248,0.0015248,0.0015248
26,838.869,1.6344,1.50866,1.57415,0.73983,0.67164,0.72033,0.39296,1.65878,1.21357,1.63772,0.001505,0.001505,0.001505
27,871.082,1.6751,1.5114,1.61769,0.74911,0.62687,0.67958,0.33692,1.61683,1.28983,1.62722,0.0014852,0.0014852,0.0014852
28,902.354,1.71421,1.58064,1.6259,0.73529,0.67164,0.72779,0.40477,1.63954,1.22372,1.6195,0.0014654,0.0014654,0.0014654
29,935.041,1.64315,1.51495,1.57339,0.75163,0.63241,0.72187,0.37322,1.55923,1.44508,1.5933,0.0014456,0.0014456,0.0014456
30,966.488,1.64212,1.49273,1.59953,0.74425,0.73844,0.78201,0.3812,1.65762,1.19627,1.65814,0.0014258,0.0014258,0.0014258
31,997.753,1.65134,1.50057,1.60267,0.77651,0.67164,0.7535,0.40214,1.65632,1.24801,1.66751,0.001406,0.001406,0.001406
32,1029.86,1.61307,1.4387,1.57824,0.79365,0.67164,0.74258,0.37035,1.69849,1.24151,1.63711,0.0013862,0.0013862,0.0013862
