epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2767,1.95619,3.03934,1.69048,0.03722,0.26866,0.04333,0.01393,1.98825,22.3555,3.23758,0.000649573,0.000649573,0.000649573
2,56.447,2.15033,2.41872,1.90737,0,0,0,0,nan,nan,nan,0.00130321,0.00130321,0.00130321
3,80.4729,2.22046,2.45094,2.00128,0.00033,0.08955,0.00018,6e-05,4.66161,inf,161.538,0.00194364,0.00194364,0.00194364
4,104.881,2.18067,2.43318,1.91703,0,0,0,0,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,129.164,2.11892,2.27737,1.87278,0,0,0,0,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,153.95,2.11298,2.20523,1.84306,0.11073,0.10448,0.03947,0.01557,nan,nan,nan,0.001901,0.001901,0.001901
7,178.993,2.04929,2.18448,1.87505,0.10118,0.02985,0.01752,0.00979,4.12471,6.76926,5.20466,0.0018812,0.0018812,0.0018812
8,203.761,2.03052,2.13719,1.82118,0.21229,0.10458,0.09799,0.04295,2.48067,5.251,2.33222,0.0018614,0.0018614,0.0018614
9,229.075,1.95466,1.98922,1.76808,0.35454,0.38806,0.3352,0.14595,2.17319,2.34544,1.86287,0.0018416,0.0018416,0.0018416
10,254.521,1.97025,1.92647,1.78295,0.69142,0.60203,0.654,0.31228,1.91201,2.28391,1.7511,0.0018218,0.0018218,0.0018218
11,279.799,1.93561,1.93198,1.72391,0.77201,0.59701,0.70595,0.35717,1.73491,1.59703,1.62688,0.001802,0.001802,0.001802
12,304.953,1.87565,1.86088,1.68115,0.74268,0.43284,0.50952,0.23067,2.02278,1.82177,1.76487,0.0017822,0.0017822,0.0017822
13,329.509,1.77227,1.70399,1.63782,0.66401,0.5605,0.65108,0.32306,1.72863,2.2236,1.6015,0.0017624,0.0017624,0.0017624
14,354.389,1.84737,1.73256,1.63901,0.76151,0.70149,0.74993,0.37171,1.68975,1.5752,1.57372,0.0017426,0.0017426,0.0017426
15,379.71,1.80708,1.66164,1.66785,0.83786,0.61707,0.75491,0.40406,1.70447,1.38355,1.58122,0.0017228,0.0017228,0.0017228
16,405.945,1.75062,1.6346,1.60718,0.78298,0.79104,0.77897,0.35438,1.70629,1.28863,1.5235,0.001703,0.001703,0.001703
