epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1322,1.90689,6.25341,1.64308,0,0,0,0,2.24407,inf,2.12649,0.000649573,0.000649573,0.000649573
2,38.5756,2.03514,2.4869,1.69574,0.02016,0.29851,0.01175,0.00405,2.44519,126.364,2.3833,0.00130321,0.00130321,0.00130321
3,53.9655,2.04135,2.19116,1.76849,0,0,0,0,nan,nan,nan,0.00194364,0.00194364,0.00194364
4,68.8331,2.05008,2.11655,1.77791,0.24859,0.32836,0.24568,0.10155,2.10115,16.9127,1.90454,0.0019406,0.0019406,0.0019406
5,84.6837,2.00898,2.06745,1.73216,0.57932,0.57557,0.60432,0.29527,1.81613,3.10745,1.71032,0.0019208,0.0019208,0.0019208
6,99.8686,1.9155,1.8901,1.65987,0.43336,0.59701,0.49448,0.22058,1.95254,6.45476,1.80508,0.001901,0.001901,0.001901
7,114.784,1.8273,1.79762,1.63037,0.78034,0.47722,0.52515,0.27318,1.83702,4.19097,1.68835,0.0018812,0.0018812,0.0018812
8,129.265,1.89338,1.77389,1.64714,0.64219,0.65672,0.70647,0.33236,1.68806,1.4739,1.54603,0.0018614,0.0018614,0.0018614
9,144.52,1.82073,1.67678,1.6224,0.74388,0.55224,0.681,0.29221,1.8152,1.35017,1.63704,0.0018416,0.0018416,0.0018416
10,159,1.77641,1.63001,1.59811,0.79894,0.65245,0.7236,0.37637,1.68909,1.58304,1.55782,0.0018218,0.0018218,0.0018218
11,174.124,1.8043,1.68177,1.57506,0.69687,0.64179,0.70464,0.35551,1.75825,1.58992,1.59965,0.001802,0.001802,0.001802
12,188.623,1.77363,1.66641,1.55534,0.83193,0.55224,0.68006,0.30913,1.91098,1.4391,1.67298,0.0017822,0.0017822,0.0017822
13,203.29,1.69532,1.51846,1.53071,0.82261,0.59701,0.74919,0.36729,1.78817,1.37975,1.61839,0.0017624,0.0017624,0.0017624
14,217.678,1.73783,1.51637,1.54907,0.78261,0.67164,0.74657,0.38518,1.76934,1.30416,1.61055,0.0017426,0.0017426,0.0017426
15,232.6,1.75264,1.48327,1.56731,0.89456,0.59701,0.76956,0.36677,1.78061,1.31996,1.57616,0.0017228,0.0017228,0.0017228
16,247.214,1.65628,1.41428,1.5005,0.73782,0.73134,0.76314,0.38866,1.71294,1.31276,1.48952,0.001703,0.001703,0.001703
17,262.307,1.7173,1.51849,1.48277,0.6699,0.68657,0.72535,0.3803,1.7109,1.2327,1.53172,0.0016832,0.0016832,0.0016832
18,277.05,1.69856,1.49118,1.49346,0.82162,0.64179,0.77572,0.40281,1.69475,1.17357,1.49486,0.0016634,0.0016634,0.0016634
