epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6117,1.64832,1.47349,1.39957,0.00418,0.5,0.00338,0.00127,2.61439,inf,255.82,0.00065,0.00065,0.00065
2,35.8111,1.80734,1.59724,1.56532,0.00418,0.5,0.00338,0.00127,nan,nan,nan,0.00130363,0.00130363,0.00130363
3,51.3769,1.87799,1.76369,1.60791,0.00418,0.5,0.00338,0.00127,nan,nan,nan,0.00194406,0.00194406,0.00194406
4,67.1318,1.85009,1.79457,1.61675,0.00418,0.5,0.00338,0.00127,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,82.3444,1.87268,1.56569,1.56486,0.00418,0.5,0.00338,0.00127,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,97.6849,1.84175,1.62112,1.59495,0.923,0.05882,0.06087,0.04052,nan,nan,nan,0.001901,0.001901,0.001901
7,113.008,1.83906,1.54902,1.58644,0.33376,0.44118,0.37565,0.19833,1.74614,6.12589,1.69532,0.0018812,0.0018812,0.0018812
8,128.551,1.8055,1.47934,1.51387,0.70062,0.47059,0.52586,0.24068,1.84775,3.72276,1.78326,0.0018614,0.0018614,0.0018614
9,143.638,1.72861,1.43901,1.51061,0.53625,0.44118,0.45456,0.23585,1.87569,3.09371,1.66863,0.0018416,0.0018416,0.0018416
10,158.679,1.64868,1.32691,1.45846,0.86982,0.67647,0.71505,0.34539,1.69336,1.56739,1.56842,0.0018218,0.0018218,0.0018218
11,173.849,1.73391,1.39378,1.51871,0.94613,0.51694,0.61538,0.35687,1.60782,1.89769,1.56061,0.001802,0.001802,0.001802
12,189.019,1.63781,1.30698,1.42924,0.77493,0.70896,0.77457,0.39936,1.67407,1.31191,1.59348,0.0017822,0.0017822,0.0017822
