epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9193,1.61771,2.82846,1.49892,0.05579,0.7937,0.44503,0.27793,1.26747,2.87216,1.19489,0.00043342,0.00043342,0.00043342
2,29.7473,1.22607,1.50065,1.19045,0.64406,0.40432,0.59738,0.39732,1.29367,2.16242,1.19912,0.000874763,0.000874763,0.000874763
3,40.3489,1.0374,0.97307,1.11978,0.90084,0.81,0.88724,0.65587,1.1401,1.28916,1.11388,0.00130719,0.00130719,0.00130719
4,49.6512,0.99738,0.87693,1.0833,0.91536,0.87275,0.92348,0.6373,1.23241,1.09558,1.18005,0.00161749,0.00161749,0.00161749
5,60.3675,0.94905,0.81982,1.05794,0.92292,0.89157,0.94419,0.74318,1.01652,0.96856,1.085,0.00160099,0.00160099,0.00160099
6,71.5794,0.85869,0.80701,1.02816,0.94261,0.91462,0.94846,0.7586,0.93596,1.00064,1.07967,0.00158448,0.00158448,0.00158448
7,81.5929,0.81557,0.73828,0.99948,0.90229,0.90853,0.94155,0.76291,0.9606,0.89171,1.09452,0.00156798,0.00156798,0.00156798
8,91.3564,0.785,0.70017,0.99244,0.9419,0.9076,0.96067,0.81475,0.8514,0.76887,1.04293,0.00155148,0.00155148,0.00155148
9,102.028,0.74645,0.67018,0.97142,0.93805,0.93277,0.96156,0.8132,0.85314,0.72825,1.04054,0.00153497,0.00153497,0.00153497
10,112.62,0.71327,0.66692,0.96649,0.93574,0.92519,0.95833,0.81175,0.84275,0.73065,1.03922,0.00151847,0.00151847,0.00151847
11,121.67,0.70699,0.63092,0.9627,0.95117,0.92802,0.96238,0.82647,0.7994,0.69959,1.02371,0.00150197,0.00150197,0.00150197
12,132.012,0.69269,0.62976,0.95442,0.96354,0.93172,0.96693,0.84628,0.77632,0.63825,1.02298,0.00148546,0.00148546,0.00148546
13,142.836,0.59096,0.55018,0.9295,0.95067,0.91374,0.95289,0.80253,0.83539,0.67861,1.04173,0.00146896,0.00146896,0.00146896
14,152.912,0.65856,0.60548,0.95846,0.93707,0.92811,0.95932,0.83561,0.73491,0.65013,0.99789,0.00145246,0.00145246,0.00145246
15,161.917,0.64039,0.56664,0.9377,0.95298,0.93823,0.96497,0.84562,0.77648,0.6077,1.03443,0.00143595,0.00143595,0.00143595
16,172.215,0.64574,0.62373,0.96738,0.95981,0.92626,0.96429,0.86437,0.73675,0.61692,1.01113,0.00141945,0.00141945,0.00141945
17,182.798,0.65769,0.60311,0.95769,0.95212,0.93064,0.96081,0.85665,0.71272,0.61737,1.00825,0.00140295,0.00140295,0.00140295
18,191.519,0.59214,0.52708,0.91868,0.9529,0.93447,0.96406,0.86828,0.72066,0.59935,1.00495,0.00138644,0.00138644,0.00138644
19,202.122,0.59861,0.5721,0.93389,0.96238,0.93824,0.96845,0.85244,0.74258,0.56341,0.99915,0.00136994,0.00136994,0.00136994
20,212.504,0.59035,0.50952,0.92177,0.95658,0.94177,0.96623,0.86959,0.71133,0.57125,1.00048,0.00135344,0.00135344,0.00135344
21,222.191,0.56622,0.49411,0.9125,0.95588,0.9408,0.96759,0.87328,0.71394,0.57403,1.01227,0.00133693,0.00133693,0.00133693
22,231.881,0.5222,0.46699,0.90186,0.95428,0.90603,0.95435,0.8568,0.75835,0.72365,1.04528,0.00132043,0.00132043,0.00132043
23,242.237,0.54331,0.49024,0.91511,0.96307,0.94168,0.96952,0.88563,0.68024,0.54035,1.00151,0.00130393,0.00130393,0.00130393
24,252.631,0.53883,0.45727,0.9091,0.95752,0.93794,0.96998,0.85978,0.73967,0.54853,1.00462,0.00128742,0.00128742,0.00128742
25,261.513,0.56284,0.47096,0.92415,0.96199,0.94017,0.96684,0.86226,0.71291,0.52786,1.00911,0.00127092,0.00127092,0.00127092
26,271.979,0.54936,0.46159,0.91194,0.95988,0.93513,0.96459,0.86046,0.72017,0.55035,1.01447,0.00125442,0.00125442,0.00125442
27,282.444,0.52737,0.4564,0.90214,0.95816,0.95023,0.971,0.88231,0.67015,0.51017,0.98223,0.00123791,0.00123791,0.00123791
28,291.662,0.51381,0.42817,0.89746,0.95844,0.95205,0.96944,0.88497,0.66593,0.50339,0.98619,0.00122141,0.00122141,0.00122141
29,301.937,0.47081,0.40413,0.88307,0.95624,0.94033,0.97062,0.88634,0.66164,0.50111,0.98851,0.00120491,0.00120491,0.00120491
30,312.457,0.52639,0.42391,0.90602,0.96904,0.94028,0.97049,0.89185,0.65911,0.48512,0.98602,0.0011884,0.0011884,0.0011884
31,322.668,0.52612,0.4321,0.90736,0.96842,0.951,0.97181,0.90148,0.61057,0.45902,0.96393,0.0011719,0.0011719,0.0011719
32,331.816,0.51313,0.42459,0.90526,0.97185,0.94147,0.96974,0.89894,0.62778,0.46766,0.96822,0.0011554,0.0011554,0.0011554
33,342.241,0.5087,0.41593,0.89809,0.95291,0.93937,0.96583,0.89158,0.6493,0.48665,0.97605,0.00113889,0.00113889,0.00113889
34,352.625,0.47507,0.39251,0.89075,0.94939,0.9324,0.96364,0.88257,0.66267,0.50922,0.99272,0.00112239,0.00112239,0.00112239
35,361.488,0.49879,0.40633,0.89977,0.96323,0.94993,0.97203,0.8955,0.64369,0.45941,0.98064,0.00110589,0.00110589,0.00110589
36,371.896,0.47536,0.3928,0.88063,0.95839,0.94979,0.96905,0.89858,0.62514,0.48939,0.97059,0.00108938,0.00108938,0.00108938
37,382.269,0.46218,0.38957,0.88264,0.95435,0.95389,0.97012,0.89374,0.6463,0.45312,0.97172,0.00107288,0.00107288,0.00107288
38,391.737,0.45813,0.37382,0.88057,0.95844,0.94967,0.97258,0.90306,0.6056,0.45232,0.96266,0.00105638,0.00105638,0.00105638
39,401.716,0.46714,0.37535,0.88759,0.95603,0.95639,0.97193,0.90446,0.60393,0.43905,0.96439,0.00103987,0.00103987,0.00103987
40,412.162,0.46187,0.3872,0.88012,0.9668,0.94855,0.9702,0.90311,0.60879,0.44499,0.96454,0.00102337,0.00102337,0.00102337
41,422.509,0.43842,0.36157,0.87459,0.97241,0.95399,0.97148,0.90127,0.61814,0.45434,0.97232,0.00100687,0.00100687,0.00100687
42,431.27,0.45643,0.36846,0.88256,0.96406,0.9578,0.97293,0.8997,0.62317,0.44046,0.97191,0.000990365,0.000990365,0.000990365
43,441.582,0.44589,0.36406,0.87848,0.95643,0.95898,0.97304,0.90586,0.60288,0.43358,0.96317,0.000973861,0.000973861,0.000973861
